"459052652,2025-08-26T21:53:31Z,1404/06/05 01:23,Tiger,tiger4545,twit,#وسین برید کامنت بقیه سهامداران سهامهای دیگه را بخونید انگار تمام حقوقیها از یک سوراخ درامدند تمام کارهاشون دقیقا مثل همدیگر هست همشون از روی یک کتابچه راهنما کار میکنند اقتصاد کشور ترکیده امیدی هم ب درست شدنش نیست"
"459052647,2025-08-26T21:51:14Z,1404/06/05 01:21,Saeed.lashkhor,saeedlashkhor,quote,#وبصادر آخ قربون آدمه‌چیز فهم، بزودی خلاف جهت اخبار سیاسی میشه جهت بورس"
"459047793,2025-08-26T14:11:04Z,1404/06/04 17:41,تحلیل خاص,wwwxxxzzz1234,retwit,#شاخص_بورس گروسی میگه همکاری ادامه داره... فعلا ماشه تعلیق میشه... فردا بازار سبز کله غازی"
"459052618,2025-08-26T21:43:39Z,1404/06/05 01:13,Tiger,tiger4545,twit,#وسین دلت خوشه تازه جواز ساخت هم میگیری در هفته لااقل یکبار میان اویزون میشوند یه میان میگن ناهار نخوردیم پول ناهار بده هفته بعد میان میگن مصالح توی کوچه هست نامه میزنم کار بخوابه هفته بعد میگه خلاف داری میگی خلاف چیه میگه کارو بخوابون بهت میگم چند روز پیداش نمیشه تا اخر کار یه ریز پول میگیرند حتی کلانتری و راهنمایی رانندگی هم میان پول میگیرند همه رئیسان هم میدونند خودشون میگن حقوقشون کمه گناه دارند واسه اینه شما میگید شکایت کنید من میگم شکایت دزد را پیش دزد میبریدفقط اعتراضات تجمعی جلوی شرکت زود نتیجه میده"
"459052602,2025-08-26T21:41:15Z,1404/06/05 01:11,معین,ecbatana,quote,#فزر 😔😔😔"
"459040612,2025-08-26T06:43:03Z,1404/06/04 10:13,امید,omid-f,retwit,#دانا  \n📢 درسته دانا داره اذیت میکنه اما اصلا نگران نیستم به امید خدا با وجود: \n✅️۲۰۰ تومان سود عملیاتی Eps forward\n✅️و ۳۰۰ تومان سود غیر عملیاتی (ناشی از فروش سهام خزانه ۱۲ درصدی اکسیر و ... )\n✅️ و انباشته ۲۳۰ تومانی  (با احتساب پول زمین)\n\nهر طوری شده به امید خدا خودش را میکشه بالا ، خوبم میکشه\n\nاما سهم های زیان ده و ... کار براشون سخته"
"459051818,2025-08-26T19:45:25Z,1404/06/04 23:15,fiterf14,fiterf14,retwit,#شاخص_بورس استیو ویتکاف فرستاده ویژه دونالد ترامپ، رئیس جمهور آمریکا در غرب آسیا گفت: ما این هفته نشست‌هایی مفصل درباره غزه، ایران و درگیری بین روسیه و اوکراین برگزار خواهیم کرد.\nوی گفت که امیدوار است پیش از پایان سال جاری میلادی پرونده‌های ایران، جنگ اوکراین و جنگ غزه حل و فصل شوند.\nآژانس انرژی اتمی بزودی همکاری میان ایران و آژانس شروع خواهد شد"
"459052568,2025-08-26T21:34:41Z,1404/06/05 01:04,LiliBaliBoliBili,lilibalibilibol,quote,#شاخص_بورس \nاحتمال منفی بالا در سکه و طلا و بدتر در صندوقها طلا هست مراقب احتیاط\nتمام خبرها منفی کذب\nمکانیسم ماشه در یک سانتی شروع رفته رو هوا \nچرا سکه و طلا و صندوق طلا را بادش کردین چرا ??? سوال جدا چرا ؟؟؟\nبابک گفته مرکزی سکه را ۳۰% با حباب میفروشه میخواسته خودش طلا را ارزون تر بفروشه مرکزی اجازه نداده"
"459052545,2025-08-26T21:31:33Z,1404/06/05 01:01,Amir,amirm20,twit,#شاخص_بورس بعضیا فکر میکنن با توئیت کاربران بازارها راهشون رو عوض میکنن.\nشاید فقط چند نفر با سرمایه اندک تصمیمشون رو عوض کنن و گمراه بشن.\nپس حق الناس گردنتون نندازید، شاید همین بلای الان بورس بخاطر حق الناس های گذشته تون هست"
"459052538,2025-08-26T21:30:39Z,1404/06/05 01:00,M150150,saeed150150,twit,#توسن \nطبق پیام شما در تصویر  گزارش فصلی 14 فصل گذشته و 3 سال مالی  رو مشاهده میکنید.\n1-نکته ایی که حائز اهمیت شرکت همیشه در گزارش فصل چهارم خود در قسمت  درآمد ارائه خدمات از رشد خوبی نسبت به سه فصل قبلی خودش داره.بطور مثال در سال مالی قبل به ترتیب 2,870,296  و  3,537,365   و  3,417,887 و در فصل چهارم 4,206,257 میلیون ریال درآمد  ارائه خدمات داشته .همین مورد واسه سال قبلش هم صدق میکنه که اونجا بسیار چشمگیر هم بوده.(روی حاشیه سود ناخالث تاثیرمثبت داره)\n\n2-مورد گفته شده بالا واسه سایر  درآمد غیر عملیاتی هم وجود داره .بطور مثال واسه سال مالی منتهی به 1403/09  و فصل اول منفی 78217 و فصل دوم منفی 196933 و فصل سوم منفی  -47,842 و فصل چهارم با یک جهش و عدد 2,303,307 که باعث شده کل سال رو به 1,980,315 برسونه.همین امر باعث میشه که حاشیه سود خالص رو تغییر بده.\n\n3-در جدول پایینی واسه اینکه بدونیم تغییرات در هر قسمت چقدر و چگونه بوده رو آوردم.(بهتره اول جدول پایین رو ببینیم و سپس هر قسمت که تغییر چشمگیر داشته رو در قسمت بالا بررسی کنیم .و حتبی واسه بررسی دقیق تر اگر نیاز داشتید به یادداشت های توضیحی در گزارش های حسابرسی شده مراجعه کنید.هر چند فکر کنم واسه دید کلی از شرکت همین دو جدول کمک بزرگی میکنه که بهتر بشه شرایط شرکت رو درک کرد.\n\n****نکته اینکه شرکت در دو فصل سال جاری 517 ریال به ازای هر سهم سود ساخته در صورتیکه در مدت مشابه سال قبل 231 ریال سود ساخته که دلیل اصلی از درآمد ارائه خدمات بوده"
